Row,Author,Paper,Location,Country,Mult.country,Habitat type,Moment,Species English,Species scientific,Host taxonomic class,Sampling method,Hosts studied,Host infested,Infestation prevalence,Total ticks,Mean abundance,Stages,Larvae on hosts,Mean larval abundance,Host infested with larvae,Nymphs on hosts,Mean nymphal abundance,Host infested with nymphs,Adults on hosts,Mean adult abundance,Host infested with adults,"Any SD, SE or CI given",Note on confidence,Same animals AH/AF,Same reference,Multiple species,Notes,Birds,HD
0189,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,77,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0190,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,White-throated dipper,Cinclus cinclus,Bird,Scientific capturing,3,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0191,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,European robin,Erithacus rubecula,Bird,Scientific capturing,192,NA,NA,246,1.28,Yes,246,1.28,6,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0192,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,96,NA,NA,218,2.27,Yes,218,2.27,6,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0193,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,White wagtail,Motacilla alba,Bird,Scientific capturing,5,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0194,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Grey wagtail,Motacilla cinerea,Bird,Scientific capturing,7,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0195,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Spotted flycatcher,Muscicapa striata,Bird,Scientific capturing,4,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0196,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Bank vole,Myodes glareolus,Mammal,Scientific capturing,99,NA,NA,1271,12.84,Yes,1271,12.84,96,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,No birds,Yes
0197,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Turdus spp.,Turdus spp,Bird,Scientific capturing,116,NA,NA,404,3.48,Yes,189,1.63,43,215,1.86,26,0,0.00,0,No,NA,No,NA,Half,,Non-migrating birds,Yes
0198,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Great tit,Parus major,Bird,Scientific capturing,30,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0199,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Coal tit,Periparus ater,Bird,Scientific capturing,25,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0200,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,16,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0201,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Dunnock,Prunella modularis,Bird,Scientific capturing,6,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0202,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common stonechat,Saxicola torquatus,Bird,Scientific capturing,8,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0203,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,8,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0204,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common blackbird,Turdus merula,Bird,Scientific capturing,143,NA,NA,792,5.54,Yes,463,3.24,114,329,2.30,19,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0205,"Estrada-Pena et al., (2005)",053,Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Song thrush,Turdus philomelos,Bird,Scientific capturing,130,NA,NA,632,4.86,Yes,416,3.20,83,216,1.66,19,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,Yes
0206,"Foldvari et al., (2009)",054,"Gödöllö (N47°57', E19°33')",Hungary,No,"Mosaic of meadows, arable fields, planted wood mostly black locust (Robinia pseudacacia), and scrubland. Scrublands consist of common hawthorn (Crataegus monogyna), blackthorn (Prunus spinosa), and dog rose (Rosa canina). Meadows are dominated by xerophilic grasses (e.g., Festuca spp., Dactylis glomerata, Calamagrostis epigeios, and Stipa spp.).",April - September in 2007 and 2008,Sand lizard,Lacerta agilis,Reptile,Scientific capturing,20,7,0.35,20,1.00,Yes,7,0.35,NA,13,0.65,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,No
0207,"Foldvari et al., (2009)",054,"Gödöllö (N47°57', E19°33')",Hungary,No,"Mosaic of meadows, arable fields, planted wood mostly black locust (Robinia pseudacacia), and scrubland. Scrublands consist of common hawthorn (Crataegus monogyna), blackthorn (Prunus spinosa), and dog rose (Rosa canina). Meadows are dominated by xerophilic grasses (e.g., Festuca spp., Dactylis glomerata, Calamagrostis epigeios, and Stipa spp.).",April - September in 2007 and 2008,European green lizard,Lacerta viridis,Reptile,Scientific capturing,126,66,0.52,397,3.15,Yes,267,2.12,NA,130,1.03,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,No
0208,"Foldvari et al., (2009)",054,"Gödöllö (N47°57', E19°33')",Hungary,No,"Mosaic of meadows, arable fields, planted wood mostly black locust (Robinia pseudacacia), and scrubland. Scrublands consist of common hawthorn (Crataegus monogyna), blackthorn (Prunus spinosa), and dog rose (Rosa canina). Meadows are dominated by xerophilic grasses (e.g., Festuca spp., Dactylis glomerata, Calamagrostis epigeios, and Stipa spp.).",April - September in 2007 and 2008,Balkan wall lizard,Podarcis taurica,Reptile,Scientific capturing,40,14,0.35,55,1.38,Yes,50,1.25,NA,5,0.13,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,No
0209,"Foldvari et al., (2011)",055,"Margaret Island, Budapest",Hungary,No,Urban park,May - October 2009 and March - November 2010,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Scientific capturing,247,191,0.77,4746,NA,No,NA,NA,NA,2204,8.92,NA,2542,10.29,NA,No,NA,No,NA,No,,No birds,Yes
0210,Frank et al. (2015),056,Martinskirche in Gladenbach (Hesse),Germany,No,Church roof,July 21 in 2012,Mouse-eared myotis,Myotis myotis,Mammal,Found dead (natural causes),30,1,0.03,1,0.03,Yes,1,0.03,1,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,No birds,No
0211,"Gassner et al., (2008)",059,"Oostereng, Renkum",The Netherlands,No,Mixed woodlands (deciduous and evergreen) and pasture,June 2005,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,3,NA,NA,0,0.00,No,0,0.00,NA,NA,NA,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0212,"Gassner et al., (2008)",059,"Oostereng, Renkum",The Netherlands,No,Mixed woodlands (deciduous and evergreen) and pasture,June 2005,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,102,NA,NA,454,4.45,No,454,4.45,NA,NA,NA,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0213,"Gassner et al., (2008)",059,"Oostereng, Renkum",The Netherlands,No,Mixed woodlands (deciduous and evergreen) and pasture,June 2005,Bank vole,Myodes glareolus,Mammal,Scientific capturing,4,NA,NA,5,1.25,No,5,1.25,NA,NA,NA,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0214,"Gassner et al., (2008)",059,"Oostereng, Renkum",The Netherlands,No,Mixed woodlands (deciduous and evergreen) and pasture,June 2005,Common shrew,Sorex araneus,Mammal,Scientific capturing,9,NA,NA,2,0.22,No,2,0.22,NA,NA,NA,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0215,"Gassner et al., (2013)",060,The Netherlands,The Netherlands,No,NA,May - June 2007,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,128,NA,NA,3314,25.89,Yes,3230,25.23,NA,84,0.66,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0216,"Gassner et al., (2013)",060,The Netherlands,The Netherlands,No,NA,May - June 2007,Bank vole,Myodes glareolus,Mammal,Scientific capturing,41,NA,NA,264,6.44,Yes,262,6.39,NA,2,0.05,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0217,"Gern et al., (1997)",062,Neuchatel and Versoix (canton of Geneva),Switzerland,No,Urban and suburban,September 1993 and March - August 1994,Western European hedgehog,Erinaceus europaeus,Mammal,Scientific capturing,13,8,0.62,810,62.31,Yes,637,49.00,7,140,10.77,7,33,2.54,7,No,NA,No,NA,No,,No birds,Yes
0218,"Gray et al., (1994)",065,"Portumna, Galway county",Ireland,No,Forest park,June (year unknown),Western European hedgehog,Erinaceus europaeus,Mammal,Scientific capturing,1,1,1.00,463,463.00,Yes,406,406.00,1,57,57.00,1,0,0.00,0,No,NA,No,NA,No,,No birds,Yes
0219,"Gray et al., (1995)",066,Connemara,Ireland,No,NA,May and June 1992-1993,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,43,NA,NA,406,9.45,No,406,9.45,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,,No birds,Yes
0220,"Gray et al., (1999)",067,"Killarney National Park, County Kerry",Ireland,No,Forest,May - June 1994-1996 (not May 1996) and September 1994,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,306,150,0.49,651,2.13,Yes,650,2.12,NA,1,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0221,"Gray et al., (1999)",067,"Killarney National Park, County Kerry",Ireland,No,Forest,May - June 1994-1996 (not May 1996) and September 1994,Bank vole,Myodes glareolus,Mammal,Scientific capturing,111,39,0.35,105,0.95,Yes,105,0.95,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0222,"Gryczynska et al., (2016)",068,"Mazurian Lake region (53°47'N, 21°34'E)",Poland,No,Wooded area ,"June in 1996, 1997, 2005, 2006, 2011 and 2012",Turdus spp.,Turdus spp.,Bird,Scientific capturing,78,70,0.90,626,8.03,Yes,131,1.68,NA,492,6.31,NA,0,0.00,NA,Yes,SD only given for all ticks,No,NA,Half,,Non-migrating birds,No
0223,"Gryczynska, (2018)",069,"Mazurian Lake region (53°47’N, 21°34’E) and in proximity of the “Morysin Nature Reserve” in Warsaw (52°12’N, 21°02’E)",Poland,No,Forest-like habitat,June - July 2016,Common blackbird,Turdus merula,Bird,Scientific capturing,22,20,0.91,63,2.86,Yes,17,0.77,NA,46,2.09,NA,0,0.00,NA,No,NA,No,NA,No,,Non-migrating birds,No
0224,"Gryczynska-Siemiatkowska et al., (2007)",070,Mazurian Lake region,Poland,No,NA,May - September in 2002 and 2003,Sand lizard,Lacerta agilis,Reptile,Scientific capturing,235,31,0.13,233,0.99,Yes,76,0.32,23,157,0.67,27,0,0.00,NA,No,NA,No,NA,No,,No birds,No
0225,"Grzeszczuk et al., (2006)",072,Bialowieza,Poland,No,NA,One week in September 2004,Root vole,Microtus oeconomus,Mammal,Scientific capturing,30,2,0.07,2,0.07,Yes,2,0.07,2,0,0.00,0,0,0.00,0,No,NA,AH,"Grzeszczuk et al., (2006)",No,,No birds,No
0226,"Hanincova et al., (2003)",074,"Near Zahorska Ves (16°53'W, 48°22'N)",Slovakia,No,"Forest. The tree layer consists mainly of Quercus robur, Pinus sylvestris and Robinia pseudoacacia.The undergrowth is dominated by Sambucus nigra, Ligustrum vulgare, Calamagrostis epigeios, Crataegus monogyna, Dactylus glomerata and Robinia pseudoacacia.",March - November 2000,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,96,70,0.73,497,5.18,Yes,482,5.02,70,15,0.16,13,0,0.00,NA,Yes,"Mean larval abundance SE = 0,83; Mean nymphal abundance SE = 0,04",No,NA,No,,No birds,Yes
0227,"Hanincova et al., (2003)",074,"Near Zahorska Ves (16°53'W, 48°22'N)",Slovakia,No,"Forest. The tree layer consists mainly of Quercus robur, Pinus sylvestris and Robinia pseudoacacia.The undergrowth is dominated by Sambucus nigra, Ligustrum vulgare, Calamagrostis epigeios, Crataegus monogyna, Dactylus glomerata and Robinia pseudoacacia.",March - November 2000,Bank vole,Myodes glareolus,Mammal,Scientific capturing,111,68,0.61,277,2.50,Yes,262,2.36,69,15,0.14,12,0,0.00,NA,Yes,"Mean larval abundance SE = 0,36; Mean nymphal abundance SE = 0,04",No,NA,No,,No birds,Yes
0228,"Harrison et al., (2012)",076,Northern Ireland,UK,No,Mixed broadleaf and coniferous woodland,"May, June, and July 2007",Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,288,NA,NA,1168,4.06,Yes,1165,4.05,NA,3,0.01,NA,0,0.00,NA,Yes,SE is given per area,No,NA,No,,No birds,Yes
0229,"Hildebrandt et al., (2010)",081,"Greifswalder Oie, Mecklenburg-Western Pomerania",Germany,No,NA,Spring 2007,"European robin, Redwing thrush, Common blackbird, Song thrush, Great tit, winter wren, Whitethroat, Marsh warbler, Thrush nightingale, common redstart and Common chaffinch",NA,Bird,Scientific capturing,NA,99,NA,191,1.93,Yes,56,0.57,NA,134,1.35,NA,1,0.01,NA,No,NA,AF,"Hildebrandt et al., (2010)",Yes,,Migratory birds included,No
0230,"Hornok et al., (2012)",085,Southern Hungary,Hungary,No,NA,Summer 2011,European roe deer,Capreolus capreolus,Mammal,Hunting,35,NA,NA,132,3.77,Yes,3,0.09,NA,18,0.51,NA,111,3.17,NA,No,NA,No,NA,No,,No birds,Yes
0231,"Hornok et al., (2012)",085,Southern Hungary,Hungary,No,NA,Summer 2011,Red deer,Cervus elaphus,Mammal,Hunting,32,NA,NA,309,9.66,Yes,0,0.00,NA,1,0.03,NA,308,9.63,NA,No,NA,No,NA,No,,No birds,Yes
0232,"Hornok et al., (2013a)",086,South Hungary,Hungary,No,NA,June - August 2011,Golden jackal,Canis aureus,Mammal,Hunting,4,NA,NA,3,0.75,Yes,0,0.00,NA,0,0.00,NA,3,0.75,NA,No,NA,No,NA,No,,No birds,Yes
0233,"Hornok et al., (2013a)",086,South Hungary,Hungary,No,NA,June - August 2011,Red fox,Vulpes vulpes,Mammal,Hunting,10,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes
0234,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Great reed warbler,Acrocephalus arundinaceus,Bird,Scientific capturing,1,1,1.00,1,1.00,No,0,0.00,NA,1,1.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0235,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,49,1,0.02,1,0.02,No,0,0.00,NA,1,0.02,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0236,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,European greenfinch,Carduelis chloris,Bird,Scientific capturing,261,1,0.00,1,0.00,No,0,0.00,NA,1,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0237,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,European robin,Erithacus rubecula,Bird,Scientific capturing,734,NA,NA,53,0.07,No,19,0.03,NA,34,0.05,NA,NA,NA,NA,No,NA,No,NA,No,"42 animals were infested, but also other ticks were found. Not sure how many with I. ricinus.",Migratory birds included,No
0238,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Savi's warbler,Locustella luscinioides,Bird,Scientific capturing,12,1,0.08,1,0.08,No,0,0.00,NA,1,0.08,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0239,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Great tit,Parus major,Bird,Scientific capturing,342,4,0.01,6,0.02,No,0,0.00,NA,6,0.02,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0240,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,89,1,0.01,1,0.01,No,1,0.01,NA,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0241,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Dunnock,Prunella modularis,Bird,Scientific capturing,69,2,0.03,7,0.10,No,2,0.03,NA,5,0.07,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0242,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,140,1,0.01,1,0.01,No,0,0.00,NA,1,0.01,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0243,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,16,1,0.06,2,0.13,No,2,0.13,NA,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0244,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Redwing thrush,Turdus iliacus,Bird,Scientific capturing,1,1,1.00,4,4.00,No,0,0.00,NA,4,4.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0245,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Common blackbird,Turdus merula,Bird,Scientific capturing,39,4,0.10,24,0.62,No,0,0.00,NA,24,0.62,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0246,"Hornok et al., (2013b)",087,Ocsa Ringing Station (Duna-Ipoly National Park),Hungary,No,NA,Spring 2011,Song thrush,Turdus philomelos,Bird,Scientific capturing,33,2,0.06,2,0.06,No,0,0.00,NA,2,0.06,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds included,No
0247,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Sedge warbler,Acrocephalus schoenobaenus,Bird,Scientific capturing,90,4,0.04,4,0.04,No,2,0.02,2,2,0.02,2,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0248,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,129,NA,NA,17,0.13,No,3,0.02,2,14,0.11,12,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0249,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Tree pipit,Anthus trivialis,Bird,Scientific capturing,1,1,1.00,5,5.00,No,1,1.00,1,4,4.00,1,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0250,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,18,2,0.11,2,0.11,No,0,0.00,0,2,0.11,2,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0251,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",European robin,Erithacus rubecula,Bird,Scientific capturing,52,13,0.25,23,0.44,No,9,0.17,7,14,0.27,8,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0252,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Thrush nightingale,Luscinia luscinia,Bird,Scientific capturing,7,1,0.14,7,1.00,No,5,0.71,1,2,0.29,1,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0253,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,36,4,0.11,10,0.28,No,5,0.14,2,5,0.14,4,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0254,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,92,1,0.01,1,0.01,No,0,0.00,0,1,0.01,1,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
0255,"Hornok et al., (2014)",088,Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September",Dunnock,Prunella modularis,Bird,Scientific capturing,6,3,0.50,8,1.33,No,1,0.17,1,7,1.17,3,NA,NA,NA,No,NA,AH+AF,"Hornok et al., (2014)",No,,Migratory birds included,No
